PROPERTY_TYPE,PROPERTY_TYPE_LINK
Resorts,https://visitmaldives.com/en/resorts
Hotels,https://visitmaldives.com/en/hotels
Liveaboards,https://visitmaldives.com/en/liveaboards
Guesthouses,https://visitmaldives.com/en/guesthouses
